id,first_name,last_name,sueldo
1,Riane,Barden,44634.04
2,Analise,Seebert,35563.80
3,Hermione,Chrippes,49038.53
4,Siobhan,Slorach,46352.17
5,Mead,Aitken,37476.32
6,Chance,McGaraghan,46689.36
7,Cleveland,Lemme,39460.40
8,Quintin,Cleatherow,35191.78
9,Alisha,Cooper,41622.34
10,Hilly,Viccars,34482.70
11,Dell,Loan,41497.06
12,Sebastien,Isgar,39637.87
13,Levin,Atthowe,47948.69
14,Kinsley,Gotfrey,49838.01
15,Sybilla,Rikel,39966.77
16,Sterling,Pallasch,37435.56
17,Panchito,Hampe,43576.77
18,Rosie,Learie,41519.07
19,Helene,D'Onise,41790.66
20,Sapphire,Jurkowski,41616.70
21,Victoria,Stobie,47823.89
22,Susanne,Hing,36123.27
23,Isabelita,Lopes,45244.61
24,Florenza,Harborow,42617.72
25,Hyacinthe,Rheaume,39915.51
26,Felice,Esberger,34352.29
27,Gordy,Dalziell,46748.52
28,Petronille,Beebee,48214.84
29,Jana,Meanwell,43471.54
30,Gabriello,Steggals,35330.98
31,Talyah,Mallon,40203.78
32,Chickie,Trayford,42058.88
33,Yoshi,Jersh,34055.95
34,Alex,Loges,36228.87
35,Lurleen,Sackett,43058.81
36,Garek,McCudden,47019.46
37,Alicea,Thwaites,37895.01
38,Pebrook,Kondrat,41114.96
39,Maighdiln,Petchey,37178.82
40,Othelia,Busek,34892.30
41,Dannel,Arnecke,45480.15
42,Clemmie,Pitney,47672.35
43,Phillida,Baumaier,38817.85
44,Mathias,Cudbird,44646.80
45,Codie,Endrighi,42188.52
46,Veronike,Dikle,47165.22
47,Winny,O'Sheerin,39624.06
48,Nicol,Meineken,43841.71
49,Guntar,Iddins,45506.66
50,Devland,Treadwell,35456.86
